tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,nconst,category,lead_actors_ids,language,country,plot,budget,boxOffice
tt0097991,movie,"No Retreat, No Surrender 2",1987,92,"Action,Adventure",5.1,2501,nm0002290,actor,"['nm0002290', 'nm0857216', 'nm0001686', 'nm0911239', 'nm0400117']",English,"Hong Kong
United States","In Moc Hoa, Vietnam, a group of prisoners are executed under the watchful eye of General Ty. Meanwhile, Scott Wylde, an American college student, visits the country to visit his former teacher and best friend Mac Jarvis, meeting Terry, Mac's former lover, in the process. Terry tells Scott that Mac may be in Patpong, a seedy area of Bangkok. Scott leaves the gym and heads for his hotel, where he has dinner with his girlfriend Sulin Nguyen. During their date, Sulin's father receives a disturbing phone call and leaves his house. In the meantime, a group of thugs crash into Scott's room and kidnap Sulin. Scott fights and kills the two thugs left behind to murder him. At Sulin's house, he finds that her entire family except for her father has been killed. Scott is framed for the murders and drug possession. Despite Mr. Nguyen's pleas, the American consulate suggests sending Scott to Singapore and keeping him detained for three months. He escapes, heading to Patpong.",,
tt0097994,movie,Nobody's Perfect,1989,90,"Comedy,Romance",5.5,769,nm0005165,actor,"['nm0005165', 'nm0005165', 'nm0641097', 'nm0106755', 'nm0283200']",,,,,
tt0098000,movie,Nocturne indien,1989,110,Drama,6.9,562,nm0000767,actor,"['nm0000767', 'nm0000767', 'nm0194662', 'nm0851555', 'nm1149279']",French,France,,,$3.4 million
tt0098005,movie,Nowhere to Run,1989,86,"Drama,Thriller",4.9,159,nm0001016,actor,"['nm0001016', 'nm0000594', 'nm0612487', 'nm0574766', 'nm0428216']",English,United States,"In rural Texas, 1960 — an age of good times and innocence, when growing up was supposed to be easy — six high school seniors know the terrible secret that will make the difference in the biggest election in the county's history. They must make the most difficult decision of their lives. They must become adults.",,
tt0098298,movie,Killer Angels,1989,91,"Action,Thriller",6,239,nm1900149,actress,"['nm1900149', 'nm4739219', 'nm7514902', 'nm0151071', 'nm2943061']",,,,,
tt0099050,movie,Naked Rage,1990,88,"Drama,Thriller",4,206,nm0052537,actress,"['nm0052537', 'nm0286596', 'nm0512462', 'nm0204427', 'nm0681300']",,,,,
tt0099264,movie,New Kid in town,1990,88,Action,5.4,167,nm0157785,actor,"['nm0157785', 'nm0497920', 'nm0514906', 'nm0536839', 'nm0186962']",,,,,
tt0099265,movie,Kawashima Yoshiko,1990,96,"Biography,Crime,Drama",6.5,277,nm0611315,actress,"['nm0611315', 'nm0611315', 'nm0490489', 'nm0232504', 'nm0874868']",Cantonese,Hong Kong,"Yoshiko Kawashima is the 14th princess of Prince Su of the Qing dynasty. In order to revive Manchu culture, Prince Su sent Yoshiko to Japan to be trained as a spy by Naniwa Kawashima, who also deprived Yoshiko of her virginity. Yoshiko was ordered to marry a Mongol prince, although the marriage was a failure. After breaking with Naniwa, Yoshiko went to Shanghai and, with her beauty and leverage, she attaches herself to Japanese general Tanaka Takayoshi and helps Puyi establish Manchukuo in Xinjing. She becomes a commander of a Manchukuo army unit and a Japanese spy, seeking revenge on revolutionaries. But upon seeing her former lover Cloud, who became a revolutionary, being arrested for assassinating Takayoshi, Yoshiko has a change of mind. But a crisis will ensue. At the end of the war, Kawashima is executed, aged 42.",,"HK$11,798,844"
tt0099914,movie,Kaj's fødselsdag,1990,89,Drama,5.7,146,nm0840927,actor,"['nm0840927', 'nm0008750', 'nm0062862', 'nm0394849', 'nm0091389']",,,,,
tt0099922,movie,Karate Rock (The Kid with Iron Hands),1990,90,"Action,Adventure",3.6,167,nm0004645,actor,"['nm0004645', 'nm0376897', 'nm0275921', 'nm2504712', 'nm2134377']",,,,,
tt0099934,movie,Killer Crocodile 2,1990,87,Horror,4.5,1004,nm0187388,actor,"['nm0187388', 'nm0440062', 'nm0320942', 'nm1467888', 'nm1587863']",Italian,Italy,"Some time after the events of the first film, efforts are made to clean up the radioactive waste from the tropical island to make it attractive as a tourist destination. However, a reporter soon discovers a conspiracy to hide the truth about the pollution and the supposed clean-up, and encounters Kevin and Joe, who maintain in the area. They soon face not only a group of violent thugs trying to silence them, but also another giantic crocodile.",,
tt0099935,movie,Killer Tomatoes Strike Back!,1991,87,Comedy,3.8,1803,nm0267240,actress,"['nm0267240', 'nm0734351', 'nm0936762', 'nm0040014', 'nm0040014']",English,United States,"Police assistant Lance Boyle is a childish detective who is lumbered with worthless police cases. However, after several murders in a nearby wood that concern Killer Tomatoes, Lance finds himself working alongside Kennedy Johnson, a Tomatologist, to solve the murders.",,
